47;IG0IG00559*PZ2*10;PZ2;10;46;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
48;IG0IG00559*PZ2*12;PZ2;12;46;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
49;IG0IG00559*PZ2*14;PZ2;14;46;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
50;IG0IG00559*PZ2*16;PZ2;16;46;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
51;IG0IG00559*BEH*12;BEH;12;44;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
52;IG0IG00559*BEH*14;BEH;14;44;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
53;IG0IG00559*BEH*16;BEH;16;44;2;Calvin Klein Jeans;Одежда;Леггинсы;94% Органический хлопок, 6% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;БАНГЛАДЕШ;;3818.322;;1;;2;
54;IG0IG00630*0GJ*8;0GJ;8;;2;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;4;8909.418;;1;;2;
55;IG0IG00630*0GJ*10;0GJ;10;54;2;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8909.418;;1;;2;
56;IG0IG00630*0GJ*12;0GJ;12;54;2;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8909.418;;1;;2;
