id;articule;modelcode;colour;size;firstsize;gender;brand;itemgroup;name;consist;provider;manufacturer;country;imagecount;price;sale;count;season;description
133;YU-29;00-00000368;белый/розовый/антрацит;8\10;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
134;YU-30;00-00000369;белый/крем-пудра/антрацит;10\12;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
135;YU-30;00-00000369;белый/крем-пудра/антрацит;12\14;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
136;YU-30;00-00000369;белый/крем-пудра/антрацит;6\8;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
137;YU-30;00-00000369;белый/крем-пудра/антрацит;8\10;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
138;YU-31;00-00000370;белый/крем-пудра/черный;10\12;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
139;YU-31;00-00000370;белый/крем-пудра/черный;12\14;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
140;YU-31;00-00000370;белый/крем-пудра/черный;6\8;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
141;YU-31;00-00000370;белый/крем-пудра/черный;8\10;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
142;YU-32;00-00000371;белый/розовый/черный;10\12;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
143;YU-32;00-00000371;белый/розовый/черный;12\14;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
144;YU-32;00-00000371;белый/розовый/черный;6\8;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
145;YU-32;00-00000371;белый/розовый/черный;8\10;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
146;YU-33;00-00000372;белый/розовый/крем-пудра;10\12;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
147;YU-33;00-00000372;белый/розовый/крем-пудра;12\14;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
148;YU-33;00-00000372;белый/розовый/крем-пудра;6\8;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
149;YU-33;00-00000372;белый/розовый/крем-пудра;8\10;;3;Yula;Колготки;колготки набор 5 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;3700;0;1;;1
150;YU-06;00-00000373;белый;10\12;;3;Yula;Колготки;колготки 1 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;740;0;1;;1
151;YU-06;00-00000373;белый;12\14;;3;Yula;Колготки;колготки 1 шт.;92% полиамид, 8% эластан.;;"ООО"" Юла"", Россия";;0;740;0;3;;1
