id;articule;code;colorcode;size;isfirstsize;gender;brand;group;item;consist;provider;manufacturer;country;hasimage;price;count;year;season;description
380;KG0KG05265-XNL-16;KG0KG05265;XNL;16;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
381;KB0KB05884-L57-14;KB0KB05884;L57;14;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;20283.68;1;2020;2;
382;KB0KB05848-C4X-8;KB0KB05848;C4X;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;4454.71;1;2020;2;
383;KG0KG05198-1A6-14;KG0KG05198;1A6;14;0;G;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;8909.42;1;2020;2;
384;KG0KG05263-C87-12;KG0KG05263;C87;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка бомбер;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;24102.00;1;2020;2;
385;KB0KB05853-XNL-8;KB0KB05853;XNL;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
386;KB0KB05844-ZIO-16;KB0KB05844;ZIO;16;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;3181.94;1;2020;2;
387;KB0KB05854-C4X-12;KB0KB05854;C4X;12;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;5091.10;1;2020;2;
388;KG0KG05269-C87-16;KG0KG05269;C87;16;0;G;Tommy Hilfiger;Верхняя одежда;Куртка пальто;67% хлопок, 33% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
389;KB0KB05911-C87-16;KB0KB05911;C87;16;0;B;Tommy Hilfiger;Одежда;Брюки;97% хлопок, 3% эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ШРИ-ЛАНКА;0;8909.42;1;2020;2;
